Opponent Decklist,Result
Academy Ruins | Dreadship Reef | The Filigree Sylex,-1.0
Bazaar of Baghdad | Subterranean Hangar | Vengeful Pharaoh,1.0
Blooming Marsh | Hexdrinker | Inquisition of Kozilek,0.0
Boros Garrison | Borrowed Time | Keldon Megaliths,0.5
"Boseiju, Who Endures | Sunken Citadel | Treetop Village",-1.0
Bottomless Vault | Hive of the Eye Tyrant | Inquisition of Kozilek,0.0
Cathar Commando | Icatian Store | Sunfall,1.0
Chained to the Rocks | Ocelot Pride | Plateau,1.0
Chancellor of the Forge | Foil | Mystic Sanctuary,-1.0
Chancellor of the Forge | Fury | Memnite,1.0
Crawling Barrens | Debt of Loyalty | Fountain of Cho,1.0
Cruelclaw's Heist | Dreadship Reef | Mox Jet,1.0
Crystal Vein | Crystal Vein | Eater of Days,0.0
Crystal Vein | Magus of the Moon | Mox Ruby,-1.0
Crystal Vein | Mana Vault | Thought-Knot Seer,0.0
Crystal Vein | Memnite | Sphere of Resistance,-1.0
Dismember | Hammerheim | Heartfire Hero,1.0
Divine Gambit | Prairie Dog | Remote Farm,-1.0
Dreadhorde Invasion | Etched Slith | Peat Bog,1.0
Dreams of Steel and Oil | Scythe Tiger | Undiscovered Paradise,0.0
Drownyard Temple | Hollow Trees | World Breaker,1.0
Forest | Llanowar Mentor | Worldspine Wurm,1.0
Fury Charm | Gargadon | Sandstone Needle,-1.0
"Golgari Rot Farm | Grist, the Hunger Tide | Mishra's Factory",1.0
"Lotus Bloom | Lotus Bloom | Vraska, Relic Seeker",1.0
"Luminarch Aspirant | Phelia, Exuberant Shepherd | Remote Farm",-1.0
Lurrus of the Dream-Den | Subterranean Hangar | Vampire of the Dire Moon,1.0
Memnite | Memnite | Memnite,1.0
Mox Jet | Refurbished Familiar | Vault of Whispers,0.0
"Oboro, Palace in the Clouds | Scute Swarm | Simic Growth Chamber",1.0
Restore Balance | Shivan Sand-Mage | Undiscovered Paradise,0.0
"Aether Vial | Desert | Grist, the Hunger Tide",1.0
Angel of Sanctions | Fountain of Cho | Unwanted Remake,1.0
Archon of Absolution | Detention Vortex | Icatian Store,0.0
Blinkmoth Nexus | Invasion of Gobakhan | Mox Pearl,0.0
Dark Ritual | Master of the Feast | Swamp,0.0
Daze | Hexdrinker | Tropical Island,0.0
Dreams of Steel and Oil | Hexdrinker | Undiscovered Paradise,0.0
Dryad Arbor | Force of Despair | Unmask,0.0
Forest | Mishra's Factory | Pick Your Poison,-1.0
"Hexdrinker | The Tabernacle at Pendrell Vale | Yavimaya, Cradle of Growth",-1.0
Prairie Dog | Prairie Dog | Remote Farm,0.0
Rushwood Grove | Scythe Tiger | Serene Remembrance,1.0
