Opponent Decklist,Result
Blinkmoth Nexus | Chain of Smog | Mox Jet,-1.0
Bandit's Talent | Mishra's Factory | Mox Jet,1.0
Bandit's Talent | Mox Jet | Mutavault,1.0
Bandit's Talent | Mox Jet | Radiant Fountain,1.0
Bayou | Dreams of Steel and Oil | Hexdrinker,-1.0
Blazing Hope | Sleep-Cursed Faerie | Undiscovered Paradise,1.0
Blazing Rootwalla | Dismember | Mountain,1.0
Blinkmoth Nexus | Invasion of Gobakhan | Mox Pearl,-1.0
Bond Beetle | Forest | Mistbreath Elder,1.0
"Boseiju, Who Endures | Dryad Arbor | Grist, Voracious Larva",1.0
"Boseiju, Who Endures | Fungal Reaches | Lair of the Hydra",0.0
"Boseiju, Who Endures | Mishra's Factory | Mox Emerald",-1.0
"Boseiju, Who Endures | Sunken Citadel | Treetop Village",0.0
Cavern of Souls | Forest | Hexdrinker,1.0
Cavern of Souls | Mistbreath Elder | Sunshower Druid,1.0
Chancellor of the Forge | Chancellor of the Forge | Pyrokinesis,1.0
Chancellor of the Forge | Dwarven Hold | Pyrokinesis,1.0
Chancellor of the Forge | Mental Misstep | Pyrokinesis,1.0
Claws of Gix | Descent into Avernus | Dwarven Hold,1.0
Cruel Sadist | Ebon Stronghold | Mortuary Mire,1.0
Curse of Silence | Ocelot Pride | Plains,-1.0
Dark Ritual | Phylactery Lich | Vault of Whispers,0.0
Darksteel Citadel | Ensoul Artifact | Mox Sapphire,0.0
Dauthi Voidwalker | Peat Bog | Sheoldred's Edict,0.0
Daze | Hexdrinker | Tropical Island,-1.0
Dismember | Hammerheim | Heartfire Hero,1.0
Dismember | Ocelot Pride | Plains,1.0
Dread | Maze of Ith | Subterranean Hangar,1.0
Drop of Honey | Hollow Trees | Tender Wildguide,1.0
"Emrakul, the Aeons Torn | Lotus Bloom | Show and Tell",1.0
Flare of Malice | Nested Shambler | Swamp,1.0
Flash | Phyrexian Triniform | Sand Silos,1.0
Flash | Saprazzan Skerry | Woodfall Primus,0.5
Flash | Saprazzan Skerry | Worldspine Wurm,0.0
Force of Vigor | Hollow Trees | Nullhide Ferox,1.0
Forest | Hexdrinker | Hexdrinker,1.0
Greater Gargadon | Restore Balance | Undiscovered Paradise,1.0
Grove of the Burnwillows | Punishing Fire | Undiscovered Paradise,1.0
Heartfire Hero | Leather Armor | Mountain,1.0
Hushbringer | Phyrexian Dreadnought | Remote Farm,0.0
"Icatian Store | Runed Halo | Ulamog, the Infinite Gyre",1.0
Karakas | Leyline of Singularity | Ocelot Pride,-1.0
Kuldotha Rebirth | Leyline of the Meek | Mox Ruby,1.0
Mana Tithe | Mox Pearl | Restore Balance,0.0
Memnite | Memnite | Memnite,1.0
Mockingbird | Ocelot Pride | Undiscovered Paradise,1.0
Portable Hole | Restore Balance | Undiscovered Paradise,1.0
Restore Balance | Skrelv's Hive | Undiscovered Paradise,1.0
Riftwing Cloudskate | Saprazzan Skerry | Star Whale,1.0
Scrubland | Swooping Lookout | Thoughtseize,-1.0
Scythe Tiger | Thoughtseize | Undiscovered Paradise,-1.0
Sleep-Cursed Faerie | Thoughtseize | Undiscovered Paradise,-1.0
Alpine Moon | Cenn's Tactician | Undiscovered Paradise,-1.0
Ancient Tomb | Field of Ruin | Hangarback Walker,0.0
Ancient Tomb | Hangarback Walker | Steel Overseer,1.0
Arcbound Ravager | Field of Ruin | Mana Crypt,0.0
Barren Glory | Lotus Bloom | Lotus Bloom,1.0
Cathedral of War | Inkmoth Nexus | Inkmoth Nexus,1.0
Cathedral of War | Inkmoth Nexus | Steel Overseer,1.0
Cruel Sadist | Encroach | Snow-Covered Swamp,0.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",0.0
Deep-Cavern Bat | Mox Jet | Rishadan Port,-1.0
Dwarven Hold | Form of the Dragon | Maze of Ith,1.0
Encroach | Fourth Bridge Prowler | Snow-Covered Swamp,0.0
Inkmoth Nexus | Mox Pearl | Skrelv's Hive,1.0
Mishra's Factory | Mox Emerald | The Foretold Soldier,0.0
Pardic Dragon | Sandstone Needle | Wild Magic Surge,0.0
Cenn's Tactician | Karakas | Leyline of Singularity,-1.0
Cenn's Tactician | Scrubland | Thoughtseize,-1.0
City of Traitors | Drillworks Mole | Sphere of Resistance,-1.0
City of Traitors | Field of Ruin | Hangarback Walker,0.0
Hex Parasite | Karakas | Portable Hole,1.0
Karakas | Leyline of Singularity | Sacred Cat,-1.0
Mishra's Factory | Mox Emerald | Outland Liberator,1.0
Portable Hole | Prairie Dog | Remote Farm,1.0
Remote Farm | Skrelv's Hive | Soul Partition,1.0
