Opponent Decklist,Result
"Ajani, Nacatl Pariah | Ajani, Nacatl Pariah | Remote Farm",0.0
Eldrazi Temple | Idol of False Gods | Pithing Needle,1.0
"Emrakul, the Aeons Torn | Lotus Bloom | Show and Tell",1.0
Encroach | Sleep-Cursed Faerie | Undiscovered Paradise,0.0
Encroach | Student of Warfare | Undiscovered Paradise,0.0
Etched Slith | Life of Toshiro Umezawa | Peat Bog,1.0
Forbidden Orchard | Peat Bog | Suspended Sentence,0.0
"Force of Virtue | Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector",1.0
Fungal Reaches | Gnottvold Slumbermound | Red Sun's Zenith,1.0
Gleeful Demolition | Serene Remembrance | Slagwoods Bridge,0.0
Glistener Elf | Glistener Elf | Pendelhaven,1.0
Hammerheim | Heartfire Hero | Lightning Bolt,0.0
Hammerheim | Heartfire Hero | Pithing Needle,1.0
Idol of False Gods | Mishra's Foundry | Sol Ring,0.0
Island | Mental Misstep | Sleep-Cursed Faerie,1.0
Island | Sea's Claim | Sleep-Cursed Faerie,-1.0
Legacy's Allure | Saprazzan Skerry | Warkite Marauder,1.0
Mesmeric Fiend | Mox Jet | Rishadan Port,-0.5
Mesmeric Fiend | Mox Jet | Urza's Factory,1.0
"Mishra's Factory | Mox Pearl | Phelia, Exuberant Shepherd",1.0
Mishra's Factory | Mox Pearl | Soul Partition,0.0
Mishra's Factory | Mox Ruby | Sphere of Resistance,-1.0
Mishra's Factory | Rishadan Port | The Tabernacle at Pendrell Vale,-1.0
Mishra's Factory | Springheart Nantuko | Undiscovered Paradise,1.0
Plains | Student of Warfare | Unwanted Remake,0.0
Prairie Dog | Prairie Dog | Remote Farm,0.5
Sarcomancy | Swamp | Tel-Jilad Stylus,1.0
