Opponent Decklist,Result
Alpine Moon | Cenn's Tactician | Undiscovered Paradise,0.0
Chronomaton | Dismember | Quicksand,0.5
Crashing Footfalls | Dryad Arbor | Dryad Arbor,-1.0
Daze | Hexdrinker | Tropical Island,0.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",1.0
Energy Field | Sleeper Agent | Sulfur Vent,1.0
Fearless Fledgling | Ghost Town | Mox Pearl,1.0
Foil | Island | Nether Spirit,1.0
Great Hall of Starnheim | Mount Doom | Sunken Citadel,1.0
Retrofitter Foundry | The Mycosynth Gardens | Tolarian Academy,0.0
Auriok Champion | Remote Farm | Skrelv's Hive,1.0
Bandit's Talent | Hateful Eidolon | Peat Bog,-1.0
"Boseiju, Who Endures | Hickory Woodlot | Tender Wildguide",-1.0
"Boseiju, Who Endures | Hickory Woodlot | Wilson, Refined Grizzly",-1.0
Crawling Barrens | Planar Nexus | Urza's Tower,1.0
"Dargo, the Shipwrecker | Mana Crypt | Mox Ruby",1.0
Dryad Arbor | Mistbreath Elder | Pick Your Poison,1.0
"Eiganjo, Seat of the Empire | Frodo, Sauron's Bane | Orzhov Basilica",1.0
Etched Slith | Mishra's Factory | Mox Jet,0.0
Goblin Guide | Goblin Guide | Mountain,0.0
Great Furnace | Kuldotha Rebirth | Mental Misstep,0.5
Hammerheim | Heartfire Hero | Maze of Ith,0.0
Hammerheim | Heartfire Hero | Mental Misstep,1.0
Hollow Trees | Pick Your Poison | Tender Wildguide,1.0
Karakas | Leyline of Singularity | Student of Warfare,1.0
Legacy's Allure | Saprazzan Skerry | Star Whale,0.0
Mana Crypt | Phyrexian Dreadnought | The Mycosynth Gardens,0.0
"Mikaeus, the Lunarch | Remote Farm | Swift Reconfiguration",1.0
Orcish Bowmasters | Peat Bog | Sheoldred's Edict,1.0
"Phelia, Exuberant Shepherd | Prairie Dog | Remote Farm",0.5
Rushwood Grove | Tamiyo's Safekeeping | Tender Wildguide,0.5
Abiding Grace | Gingerbrute | Icatian Store,1.0
Alpine Moon | Cenn's Tactician | Plateau,0.0
Ancient Tomb | Magus of the Moon | Mox Ruby,-1.0
Bitterblossom | Mox Jet | Rishadan Port,-1.0
"Brazen Borrower | Jace, Wielder of Mysteries | Sand Silos",1.0
Chancellor of the Annex | Chancellor of the Forge | Karakas,1.0
Chancellor of the Annex | Dryad Arbor | Shining Shoal,0.0
Chancellor of the Annex | Fleeting Spirit | Fountain of Cho,1.0
Chancellor of the Annex | Icatian Store | March of Otherworldly Light,1.0
Chancellor of the Forge | Foil | Island,1.0
Dark Depths | Peat Bog | Vampire Hexmage,-1.0
Daze | Inkmoth Nexus | Island,1.0
Daze | Island | Sleep-Cursed Faerie,0.0
"Dunes of the Dead | Smallpox | Urborg, Tomb of Yawgmoth",0.0
Greater Gargadon | Plateau | Restore Balance,-1.0
"Portable Hole | Remote Farm | Thalia, Guardian of Thraben",1.0
Riftwing Cloudskate | Saprazzan Skerry | Watcher of Hours,-0.5
"Ajani, Nacatl Pariah | Remote Farm | Shire Shirriff",0.0
Alpine Moon | Hammerheim | Heartfire Hero,0.0
Ancient Tomb | Anointed Peacekeeper | Mox Pearl,0.0
Ancient Tomb | Hex Parasite | Steel Overseer,0.5
Ancient Tomb | Mox Ruby | Stingerback Terror,1.0
Ancient Tomb | Simian Spirit Guide | Stingerback Terror,1.0
Barren Glory | Lotus Bloom | Lotus Bloom,1.0
"Boseiju, Who Endures | Mishra's Factory | Mox Emerald",-1.0
Bottomless Vault | Doomsday Confluence | Subterranean Hangar,-1.0
Bottomless Vault | Nether Spirit | Smallpox,1.0
Chancellor of the Forge | Contagion | Unmask,0.0
Court of Grace | Icatian Store | Ice Floe,0.0
Dark Ritual | Master of the Feast | Swamp,1.0
Dreadhorde Invasion | Peat Bog | Smallpox,-0.5
Etched Slith | Peat Bog | Sheoldred's Edict,0.0
Field of Ruin | Keldon Megaliths | Sunken Citadel,-1.0
Hammerheim | Heartfire Hero | Pithing Needle,0.0
"Icatian Store | Island Sanctuary | Ulamog, the Infinite Gyre",1.0
Ice Floe | Living Conundrum | Sand Silos,0.0
Living Conundrum | Sand Silos | Saprazzan Cove,-1.0
Ajani Vengeant | Ancient Tomb | Tinder Farm,-1.0
Akoum Warrior | Akoum Warrior | Glimpse of Tomorrow,0.0
Ancient Tomb | Idol of False Gods | The Filigree Sylex,1.0
Ancient Tomb | Isochron Scepter | Lightning Helix,1.0
Assassin Initiate | Inquisition of Kozilek | Urborg,0.0
Blast Zone | Keldon Megaliths | Sunken Citadel,1.0
Blazing Rootwalla | Restore Balance | Undiscovered Paradise,0.0
Blinding Angel | Mana Vault | Remote Farm,1.0
Calciform Pools | March of Otherworldly Light | Mirrex,1.0
Dark Ritual | Swamp | Unstoppable Slasher,-0.5
Dismember | Eldrazi Temple | Idol of False Gods,0.0
Dryad Arbor | Dryad Arbor | Fishing Pole,1.0
Dryad Arbor | Force of Negation | Mental Misstep,1.0
Dwarven Hold | Ensnaring Bridge | Keldon Megaliths,1.0
Eldrazi Temple | Idol of False Gods | Idol of False Gods,1.0
Eldrazi Temple | Idol of False Gods | Pithing Needle,0.0
Field of Ruin | Idol of False Gods | Sol Ring,-1.0
Field of Ruin | Remote Farm | Skrelv's Hive,-1.0
Field of Ruin | Sandstone Needle | Stingerback Terror,-1.0
Gilded Drake | Homeward Path | Mox Sapphire,1.0
Hickory Woodlot | Outland Liberator | Twitching Doll,0.0
Icatian Store | Solitude | Student of Warfare,0.0
Island | Mark of Eviction | Sleep-Cursed Faerie,0.0
Island | Sleep-Cursed Faerie | Sleep-Cursed Faerie,-1.0
Lair of the Hydra | Llanowar Mentor | Vigor,1.0
Mesmeric Fiend | Mishra's Factory | Mox Jet,0.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,-1.0
Mishra's Factory | Mox Jet | Sphere of Resistance,1.0
Mishra's Factory | Rishadan Port | The Tabernacle at Pendrell Vale,1.0
"Mu Yanling, Sky Dancer | Quicksand | Saprazzan Skerry",1.0
Nether Spirit | Peat Bog | Smallpox,0.0
On Thin Ice | Snow-Covered Plains | Student of Warfare,1.0
Plains | Student of Warfare | Unwanted Remake,0.5
Academy Ruins | Calciform Pools | The Filigree Sylex,1.0
Ancient Tomb | Idol of False Gods | Phyrexian Revoker,1.0
Ancient Tomb | Mana Vault | Thought-Knot Seer,-1.0
Ancient Tomb | Remote Farm | The Wandering Emperor,0.0
Ancient Tomb | Time Vault | Voltaic Servant,-1.0
"Aphelia, Viper Whisperer | Blinkmoth Nexus | Mox Jet",-1.0
Blazing Rootwalla | Foil | Volcanic Island,1.0
Cauldron Familiar | Cavern of Souls | Witch's Oven,1.0
Crack the Earth | Memnite | Mountain,-1.0
"Elspeth, Sun's Champion | Lotus Bloom | Lotus Bloom",1.0
"Force of Virtue | Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector",-1.0
Forest | Old-Growth Dryads | Pick Your Poison,1.0
Fountain of Cho | Phyrexian Triniform | Subterranean Hangar,1.0
Gut Shot | Memnite | Mental Misstep,1.0
Hickory Woodlot | Liquimetal Coating | Outland Liberator,0.0
Island | Mental Misstep | Sleep-Cursed Faerie,0.0
Karakas | Leyline of Singularity | Mutavault,1.0
Kitesail Freebooter | Mox Jet | Rishadan Port,-1.0
Mental Misstep | Sunken Citadel | Treetop Village,1.0
"Mother of Runes | Plains | Skrelv, Defector Mite",0.0
Mox Jet | Mox Jet | Refurbished Familiar,1.0
Mox Sapphire | Mutavault | Tide Shaper,-1.0
"Phelia, Exuberant Shepherd | Remote Farm | White Knight",1.0
Phyrexian Dreadnought | Stifle | Svyelunite Temple,1.0
Remote Farm | Skrelv's Hive | Soul Partition,1.0
