Opponent Decklist,Result
Bayou | Blackmail | Hexdrinker,0.0
Alpine Moon | Mountain | Stromkirk Noble,0.0
Badlands | Crack the Earth | Spiteful Hexmage,1.0
Bayou | Funeral Charm | Hexdrinker,1.0
Bayou | Mind Swords | Young Wolf,0.0
Berserk | Chronomaton | Dryad Arbor,1.0
Blackcleave Cliffs | Encroach | Shadow Guildmage,0.0
Blazing Rootwalla | Burning Inquiry | Mountain,0.0
Blazing Rootwalla | Foil | Volcanic Island,1.0
"Bone Shards | Bottomless Vault | Ulamog, the Infinite Gyre",0.0
"Boseiju, Who Endures | Hexdrinker | Simic Growth Chamber",-0.5
Cenn's Tactician | Karakas | Leyline of Singularity,-0.5
Chancellor of the Forge | Karakas | Leyline of Singularity,-1.0
Chancellor of the Forge | Lion's Eye Diamond | Shadowgrange Archfiend,0.0
Chronomaton | Karakas | Path to Exile,0.0
City of Traitors | Isochron Scepter | Lightning Helix,1.0
City of Traitors | Isochron Scepter | Selesnya Charm,1.0
City of Traitors | Phyrexian Revoker | The Filigree Sylex,0.5
Crack the Earth | Crack the Earth | Sandstone Needle,1.0
Curse of Silence | Hexdrinker | Savannah,0.5
Dwarven Hold | Pithing Needle | Red Sun's Zenith,1.0
Eater of Days | Karakas | Mishra's Workshop,-1.0
Elvish Spirit Guide | Karakas | Mayor of Avabruck,0.0
Encroach | Hexdrinker | Undiscovered Paradise,0.0
Ensnaring Bridge | Mishra's Workshop | Scalding Tongs,-1.0
Ensnaring Bridge | Mishra's Workshop | Scepter of Empires,-1.0
Flash | Geralf's Mindcrusher | Saprazzan Cove,0.5
Force of Negation | Misthollow Griffin | Saprazzan Cove,1.0
Hickory Woodlot | Mayor of Avabruck | Mayor of Avabruck,1.0
"Interplanar Beacon | Mana Crypt | Oko, Thief of Crowns",0.0
Island | Mistblade Shinobi | Slither Blade,1.0
Island | Sleep-Cursed Faerie | Void Snare,1.0
Karakas | Leyline of Singularity | Sacred Cat,-0.5
Karakas | Lion's Eye Diamond | Shadowgrange Archfiend,0.5
Karakas | Mana Tithe | Student of Warfare,1.0
"Karakas | Simian Spirit Guide | Thalia, Guardian of Thraben",1.0
Leyline of Sanctity | Lion's Eye Diamond | Shadowgrange Archfiend,0.5
Lion's Eye Diamond | Memnite | Shadowgrange Archfiend,0.0
Lion's Eye Diamond | Mental Misstep | Shadowgrange Archfiend,0.5
Secluded Courtyard | Sleep-Cursed Faerie | Stormscape Apprentice,0.5
