Opponent Decklist,Result
Archery Training | Plains | Swooping Lookout,1.0
Inkmoth Nexus | Karakas | Luminarch Aspirant,1.0
Island | Mistblade Shinobi | Slither Blade,1.0
Island | Sleep-Cursed Faerie | Void Snare,1.0
Karakas | Leyline of Singularity | Sacred Cat,0.0
Karakas | Lion's Eye Diamond | Shadowgrange Archfiend,0.0
Karakas | Meddling Mage | Mox Sapphire,0.0
Lion's Eye Diamond | Memnite | Shadowgrange Archfiend,-1.0
Lion's Eye Diamond | Mental Misstep | Shadowgrange Archfiend,0.0
Lion's Eye Diamond | Necrogoyf | Shadowgrange Archfiend,-1.0
"Lion's Eye Diamond | Shelldock Isle | Ulamog, the Infinite Gyre",0.0
Lupine Prototype | Mishra's Workshop | Phyrexian Metamorph,0.0
Lupine Prototype | Mishra's Workshop | Trinisphere,0.0
Mind Swords | Mishra's Factory | Mox Jet,0.0
Anointed Peacekeeper | City of Traitors | Mox Pearl,0.0
Archfiend of Spite | Lion's Eye Diamond | Lion's Eye Diamond,1.0
Arrogant Wurm | Lion's Eye Diamond | Wasteland,1.0
Basking Rootwalla | Hickory Woodlot | Royal Treatment,1.0
Bayou | Cabal Therapy | Young Wolf,0.0
Bayou | Encroach | Hexdrinker,0.0
Bitterblossom | Dauthi Voidwalker | Peat Bog,1.0
Blazing Rootwalla | Burning Inquiry | Mountain,0.0
Blooming Marsh | Serene Remembrance | Vicious Rumors,0.0
"Bottomless Vault | Kaervek, the Spiteful | Ophiomancer",1.0
Burning Inquiry | Leyline of Anticipation | Simian Spirit Guide,0.0
Burning Inquiry | Mountain | Nether Spirit,0.0
Burning Inquiry | Nether Spirit | Simian Spirit Guide,0.0
Cabal Therapy | Lingering Souls | Lion's Eye Diamond,0.0
Cabal Therapy | Snow-Covered Swamp | The Rack,0.0
Cenn's Tactician | Curse of Silence | Plains,0.0
Cenn's Tactician | Karakas | Path to Exile,1.0
Cenn's Tactician | Leyline of Anticipation | Mox Pearl,1.0
Cenn's Tactician | Path to Exile | Plains,1.0
Cenn's Tactician | Pithing Needle | Plains,-1.0
Chalice of the Void | Crystalline Giant | Mishra's Workshop,0.0
Chancellor of the Forge | Dryad Arbor | Pyrokinesis,1.0
Chancellor of the Forge | Foil | Island,-1.0
Chancellor of the Forge | Force of Negation | Mental Misstep,-1.0
Chancellor of the Forge | Fury | Wasteland,1.0
Chancellor of the Tangle | Mayor of Avabruck | Wasteland,1.0
Chaplain of Alms | Karakas | Leyline of Singularity,0.0
Chronomaton | Dismember | Wasteland,1.0
Chronomaton | Pithing Needle | Wasteland,-1.0
City of Traitors | Elixir of Immortality | The Filigree Sylex,1.0
City of Traitors | Geth's Verdict | Isochron Scepter,1.0
City of Traitors | Isochron Scepter | Verdant Command,1.0
City of Traitors | Lion's Eye Diamond | Starnheim Unleashed,0.0
City of Traitors | Lupine Prototype | Phyrexian Revoker,-1.0
City of Traitors | Magus of the Moon | Mox Ruby,0.0
City of Traitors | Phyrexian Revoker | Wasteland,0.0
City of Traitors | Pithing Needle | Retrofitter Foundry,-1.0
City of Traitors | Retrofitter Foundry | Sol Ring,1.0
Cruel Reality | Lotus Bloom | Show and Tell,0.0
Crystalline Giant | Mishra's Workshop | Trinisphere,0.0
"Daretti, Ingenious Iconoclast | Interplanar Beacon | Mana Crypt",0.5
Darksteel Citadel | Ensoul Artifact | Mox Sapphire,1.0
Divine Gambit | Remote Farm | Skrelv's Hive,1.0
Dryad Arbor | Force of Negation | Snapback,-1.0
"Dryad Arbor | Oko, Thief of Crowns | Simic Growth Chamber",1.0
Durkwood Baloth | Forest | Young Wolf,1.0
Energy Field | Lotus Petal | Lotus Petal,0.0
Ensnaring Bridge | Mishra's Workshop | Walking Bulwark,1.0
Force of Despair | Memnite | Unmask,0.0
Force of Negation | Karakas | Leyline of Singularity,0.0
Forest | Nature's Claim | Swarm Shambler,1.0
Gisa's Bidding | Lion's Eye Diamond | Nether Spirit,0.5
Hexdrinker | Icehide Golem | Snow-Covered Forest,1.0
Hexdrinker | Overgrown Tomb | Snuff Out,1.0
Island | Mental Misstep | Sleep-Cursed Faerie,1.0
Isochron Scepter | Mana Crypt | Verdant Command,1.0
Karakas | Leyline of Singularity | Tethered Griffin,0.0
Karakas | Leyline of Singularity | The Rack,0.0
Karakas | Mana Tithe | Student of Warfare,0.5
Lodestone Golem | Mishra's Workshop | Sol Ring,0.0
Lupine Prototype | Mana Crypt | Phyrexian Revoker,0.0
Lupine Prototype | Mishra's Workshop | Pithing Needle,-1.0
Lupine Prototype | Mishra's Workshop | The Rack,1.0
Mayor of Avabruck | Mox Emerald | Wasteland,1.0
Mind Rake | Mishra's Factory | Mox Jet,0.0
Mishra's Factory | The Rack | Wasteland,1.0
Mishra's Workshop | Phyrexian Revoker | The Rack,-1.0
Misthollow Griffin | Saprazzan Cove | Subtlety,1.0
"Mox Jet | Valki, God of Lies | Wasteland",1.0
"Oboro, Palace in the Clouds | Piracy Charm | The Rack",0.0
Pithing Needle | Plains | Student of Warfare,-1.0
Remote Farm | Skrelv's Hive | Soul Partition,0.0
Sol Ring | Tel-Jilad Stylus | Urza's Saga,1.0
