Opponent Decklist,Result
Academy Ruins | Dreadship Reef | The Filigree Sylex,-1.0
"Dark Depths | Thespian's Stage | Urborg, Tomb of Yawgmoth",1.0
"Dark Depths | Thespian's Stage | Yavimaya, Cradle of Growth",1.0
"Energy Field | Sand Silos | Ulamog, the Infinite Gyre",-1.0
Field of Ruin | Retrofitter Foundry | Sol Ring,-1.0
Gargadon | Sandstone Needle | Wild Magic Surge,-1.0
"Hollow Trees | Hollow Trees | Ulamog, the Infinite Gyre",-1.0
Island | Piracy Charm | Sleep-Cursed Faerie,-1.0
Karakas | Leyline of Singularity | Sacred Cat,0.0
Karakas | Meddling Mage | Mox Sapphire,0.0
Mental Misstep | Pendelhaven | Vault Skirge,1.0
Nether Spirit | Peat Bog | Smallpox,0.0
"Alpine Moon | Cavern of Souls | Ragavan, Nimble Pilferer",1.0
Ancient Tomb | Phyrexian Dreadnought | The Mycosynth Gardens,1.0
Bloodhall Ooze | Geothermal Crevice | Winding Constrictor,1.0
Bottomless Vault | Hollow Trees | Vraska the Unseen,-1.0
"Bottomless Vault | Smallpox | Ulamog, the Infinite Gyre",-1.0
Broadside Bombardiers | Great Furnace | Mana Crypt,1.0
Cavern of Souls | Scythe Tiger | Wayward Guide-Beast,-1.0
"Chain of Vapor | Jace, Wielder of Mysteries | Saprazzan Cove",-1.0
Chancellor of the Annex | Chancellor of the Annex | Icatian Store,1.0
Chancellor of the Annex | Chancellor of the Forge | Shining Shoal,0.0
Chancellor of the Annex | Council's Judgement | Icatian Store,-1.0
Chancellor of the Annex | Demolition Field | Icatian Store,-1.0
Chancellor of the Annex | Fountain of Cho | Solitude,-1.0
Chancellor of the Annex | Icatian Store | Path to Exile,0.0
Chancellor of the Annex | Icatian Store | Solitude,-1.0
Chancellor of the Forge | Ego Drain | Swamp,1.0
Chaplain of Alms | Fountain of Cho | Secure the Wastes,0.0
Cruel Sadist | Training Grounds | Underground Sea,1.0
Mana Crypt | Phyrexian Dreadnought | The Mycosynth Gardens,1.0
Mox Emerald | Outland Liberator | Rishadan Port,1.0
Alpine Moon | Mountain | Stromkirk Noble,0.0
Bayou | Mind Swords | Young Wolf,0.0
Berserk | Chronomaton | Dryad Arbor,1.0
Blackcleave Cliffs | Encroach | Shadow Guildmage,0.0
Blazing Rootwalla | Foil | Volcanic Island,1.0
"Bone Shards | Bottomless Vault | Ulamog, the Infinite Gyre",-1.0
"Boseiju, Who Endures | Hexdrinker | Simic Growth Chamber",-1.0
City of Traitors | Isochron Scepter | Selesnya Charm,1.0
City of Traitors | Maze of Ith | Retrofitter Foundry,0.0
Curse of Silence | Hexdrinker | Savannah,0.5
Ensnaring Bridge | Mishra's Workshop | Scalding Tongs,-1.0
Ensnaring Bridge | Mishra's Workshop | Scepter of Empires,-1.0
Flash | Geralf's Mindcrusher | Saprazzan Cove,1.0
Force of Negation | Misthollow Griffin | Saprazzan Cove,1.0
"Interplanar Beacon | Mana Crypt | Oko, Thief of Crowns",0.0
Island | Mistblade Shinobi | Slither Blade,1.0
Island | Sleep-Cursed Faerie | Void Snare,-1.0
Karakas | Lion's Eye Diamond | Shadowgrange Archfiend,0.0
Lion's Eye Diamond | Memnite | Shadowgrange Archfiend,1.0
Lion's Eye Diamond | Mental Misstep | Shadowgrange Archfiend,0.0
Lupine Prototype | Mishra's Workshop | Trinisphere,0.5
Barren Glory | Lotus Bloom | Lotus Bloom,1.0
Bloodhall Ooze | Leyline of the Guildpact | Maze of Ith,0.0
Cathedral of War | Inkmoth Nexus | Steel Overseer,-1.0
Cathedral of War | Inkmoth Nexus | The Filigree Sylex,-1.0
Cenn's Tactician | Karakas | Portable Hole,0.0
Cenn's Tactician | Scrubland | Thoughtseize,1.0
City of Traitors | Drillworks Mole | Sphere of Resistance,0.5
City of Traitors | Field of Ruin | Hangarback Walker,-1.0
Flash | Saprazzan Skerry | Worldspine Wurm,1.0
Hex Parasite | Karakas | Portable Hole,0.0
Mishra's Factory | Mox Emerald | Outland Liberator,-1.0
Portable Hole | Prairie Dog | Remote Farm,0.5
Remote Farm | Skrelv's Hive | Soul Partition,-1.0
Ancient Tomb | Lodestone Golem | Mana Vault,1.0
Ancient Tomb | Mana Vault | Thought-Knot Seer,1.0
Anvil of Bogardan | Crystal Vein | Nether Spirit,1.0
Bottomless Vault | Nether Spirit | Smallpox,-1.0
Chaplain of Alms | Karakas | Leyline of Singularity,-1.0
Crystal Vein | Lodestone Golem | Mana Crypt,1.0
Dark Ritual | Swamp | Unstoppable Slasher,1.0
Dreams of Steel and Oil | Scythe Tiger | Undiscovered Paradise,-1.0
"Dwarven Hold | Emrakul, the Aeons Torn | Stronghold Gambit",1.0
"Elspeth, Sun's Champion | Lotus Bloom | Lotus Bloom",1.0
Fountain of Cho | Serra the Benevolent | Solitude,-1.0
Gleeful Demolition | Serene Remembrance | Slagwoods Bridge,1.0
Ice Floe | Living Conundrum | Sand Silos,-1.0
"Krenko, Baron of Tin Street | Mana Crypt | Mox Ruby",1.0
March from the Black Gate | Mox Jet | Mutavault,-1.0
Mox Emerald | Mutavault | Outland Liberator,-1.0
"Phelia, Exuberant Shepherd | Prairie Dog | Remote Farm",1.0
Prairie Dog | Remote Farm | Soul Partition,-1.0
Sarcomancy | Snow-Covered Swamp | Tel-Jilad Stylus,1.0
