Opponent Decklist,Result
Ancient Tomb | Grim Monolith | Leveler,1.0
Angel of Sanctions | Fountain of Cho | Solitude,1.0
Assassin's Trophy | Dryad Arbor | Geothermal Crevice,1.0
Assassin's Trophy | Geothermal Crevice | Keldon Halberdier,-0.5
Calciform Pools | Mirrex | Soul Partition,1.0
Cleansing Wildfire | Mox Ruby | Mutavault,1.0
Crack the Earth | Taiga | Young Wolf,1.0
Crawling Chorus | Sea's Claim | Tundra,1.0
Crystal Vein | Elite Spellbinder | Mox Pearl,-1.0
Crystal Vein | Glass-Cast Heart | Mox Jet,1.0
Crystal Vein | Magus of the Moon | Simian Spirit Guide,1.0
Dark Ritual | Swamp | Unstoppable Slasher,1.0
Dismember | Eldrazi Temple | Idol of False Gods,1.0
Drop of Honey | Forbidden Orchard | Sleep-Cursed Faerie,1.0
Encroach | Sleep-Cursed Faerie | Undiscovered Paradise,1.0
"Force of Virtue | Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector",0.0
Gemstone Mine | Greater Gargadon | Restore Balance,1.0
Inquisition of Kozilek | Subterranean Hangar | Tomb of Urami,-1.0
"Interplanar Beacon | Mana Vault | Minsc & Boo, Timeless Heroes",-1.0
"Krenko, Baron of Tin Street | Mana Crypt | Mox Ruby",1.0
Living Conundrum | Mental Misstep | Sand Silos,-1.0
Mental Misstep | Remote Farm | Skrelv's Hive,-1.0
"Mox Pearl | Mutavault | Phelia, Exuberant Shepherd",-1.0
Mox Pearl | Prairie Dog | Rishadan Port,-1.0
Narnam Renegade | Student of Warfare | Undiscovered Paradise,1.0
"Overencumbered | Phelia, Exuberant Shepherd | Remote Farm",0.0
Peat Bog | Smallpox | Tribute to Horobi,1.0
"Phelia, Exuberant Shepherd | Prairie Dog | Remote Farm",0.0
Prairie Dog | Prairie Dog | Remote Farm,0.0
Sarcomancy | Swamp | Tel-Jilad Stylus,0.0
