Opponent Decklist,Result
Abrade | Mishra's Factory | Mox Ruby,0.0
Daze | Island | Sleep-Cursed Faerie,-1.0
Dismember | Dryad Arbor | Wasteland,0.0
Dismember | Forest | Utopia Mycon,0.0
Divine Gambit | Prairie Dog | Remote Farm,1.0
Dreadhorde Invasion | Peat Bog | Smallpox,1.0
Dryad Arbor | Force of Despair | Grief,0.5
Dryad Arbor | Hollow Trees | Nullhide Ferox,1.0
Dusk Rose Reliquary | Thornglint Bridge | Young Wolf,-1.0
Etched Slith | Mishra's Factory | Mox Jet,1.0
Fear of Lost Teeth | Mox Jet | Wasteland,0.0
Foil | Island | Wasteland,1.0
Forest | Hexdrinker | Mental Misstep,1.0
Forest | Hexdrinker | Nullhide Ferox,1.0
Forest | Hexdrinker | Pick Your Poison,1.0
Fountain of Cho | Gideon of the Trials | The Tabernacle at Pendrell Vale,0.0
Freed from the Real | Hickory Woodlot | Twitching Doll,1.0
Gideon of the Trials | Jace Reawakened | Saprazzan Skerry,1.0
Gleeful Demolition | Memnite | Mountain,1.0
Gleeful Demolition | Serene Remembrance | Slagwoods Bridge,-1.0
Greater Gargadon | Lightning Bolt | Mountain,-1.0
Hammerheim | Heartfire Hero | Kumano Faces Kakkazan,1.0
Haywire Mite | Thornglint Bridge | Unwanted Remake,0.0
Heartfire Hero | Nomads en-Kor | Plateau,1.0
Hexdrinker | Inquisition of Kozilek | Undiscovered Paradise,1.0
Hexdrinker | Undiscovered Paradise | Unwanted Remake,0.0
Icatian Store | Runed Halo | Solitude,0.0
Island | Sea's Claim | Sleep-Cursed Faerie,-1.0
Island | Sleep-Cursed Faerie | The Tabernacle at Pendrell Vale,-1.0
Island | Sleep-Cursed Faerie | Unable to Scream,-1.0
Isochron Scepter | Lightning Helix | Mana Crypt,-1.0
Isochron Scepter | Mana Crypt | Verdant Command,-1.0
Karakas | Leyline of Singularity | Student of Warfare,0.0
Karakas | Meddling Mage | Mox Sapphire,-1.0
Legacy's Allure | Saprazzan Skerry | Watcher of Hours,1.0
Lodestone Golem | Planar Nexus | Urza's Tower,1.0
Mishra's Factory | Mishra's Factory | Mishra's Factory,1.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,1.0
"Mishra's Factory | Mox Pearl | Phelia, Exuberant Shepherd",1.0
Mishra's Factory | Mox Pearl | Prairie Dog,1.0
Mishra's Factory | Sol Ring | Sphere of Resistance,1.0
Mountain | Nether Spirit | Sonic Seizure,-1.0
Mox Emerald | Outland Liberator | Wasteland,1.0
Mox Jet | Nezumi Shortfang | Wasteland,1.0
Mox Pearl | Skrelv's Hive | Wasteland,-1.0
"Mox Pearl | Thalia, Guardian of Thraben | Wasteland",1.0
On Thin Ice | Snow-Covered Plains | Student of Warfare,0.0
Oona's Gatewarden | Unable to Scream | Underground Sea,0.0
Plains | Student of Warfare | Unwanted Remake,0.0
Prairie Dog | Remote Farm | Soul Partition,1.0
Razortide Bridge | Sleep-Cursed Faerie | Unwanted Remake,-1.0
Remote Farm | Skrelv's Hive | Soul Partition,1.0
"Rograkh, Son of Rohgahh | Senu, Keen-Eyed Protector | Solitude",0.0
Ruins Recluse | Rushwood Grove | Swarmyard,1.0
Sleep-Cursed Faerie | Tundra | Unwanted Remake,-1.0
Sleep-Cursed Faerie | Undiscovered Paradise | Unwanted Remake,-1.0
